zip	data
00601	5611
00602	12546
00603	19537
00606	1871
00610	8838
00611	611
00612	23438
00616	3471
00617	8579
00622	3141
00623	15031
00624	7301
00627	11814
00631	477
00636	271
00637	7555
00638	5924
00641	8947
00646	12180
00647	1844
00650	5260
00652	1583
00653	3749
00656	6443
00659	12865
00660	6000
00662	13949
00664	4962
00667	8247
00669	10374
00670	2777
00674	14871
00676	12974
00677	5655
00678	8739
00680	17584
00682	12194
00683	10866
00685	14525
00687	10026
00688	3904
00690	2138
00692	12539
00693	20982
00694	68
00698	12410
00703	9057
00704	2461
00705	9342
00707	3946
00714	6364
00715	804
00716	11826
00717	6638
00718	8186
00719	9107
00720	6613
00723	6051
00725	31121
00727	20559
00728	13259
00729	17269
00730	13366
00731	3741
00735	4131
00736	18095
00738	12136
00739	12712
00740	727
00741	1377
00745	16657
00751	7850
00754	13585
00757	7379
00765	2663
00766	7624
00767	11939
00769	12928
00771	12454
00772	6435
00773	6738
00775	428
00777	13579
00778	15185
00780	4706
00782	5395
00783	10803
00784	14748
00786	73
00791	17283
00794	9374
00795	14801
00901	3189
00906	30
00907	8306
00909	2625
00911	3885
00912	2841
00913	3044
00915	10585
00917	8233
00918	8070
00920	7119
00921	14100
00923	10540
00924	20114
00925	2400
00926	37761
00927	6161
00934	20
00949	26103
00950	0
00951	170
00952	3384
00953	23070
00956	26223
00957	15700
00959	18719
00960	0
00961	11489
00962	7760
00965	2084
00966	7117
00968	1903
00969	16264
00971	9811
00976	23850
00979	8201
00982	5786
00983	13006
00985	12622
00987	20772
01001	6813
01002	9715
01003	34
01005	1688
01007	6429
01008	585
01009	367
01010	1479
01011	446
01012	164
01013	9549
01020	13578
01022	1069
01026	443
01027	8576
01028	5857
01029	305
01030	4979
01031	697
01032	247
01033	2539
01034	877
01035	2293
01036	1965
01037	246
01038	1062
01039	693
01040	15524
01050	1019
01053	791
01054	714
01056	8502
01057	3443
01060	7481
01062	4216
01063	6
01066	60
01068	640
01069	4036
01070	247
01071	536
01072	605
01073	2464
01074	231
01075	7246
01077	3810
01079	138
01080	1007
01081	678
01082	4647
01083	1108
01084	50
01085	15994
01088	325
01089	12598
01092	584
01093	98
01094	16
01095	5377
01096	1071
01097	14
01098	496
01103	1550
01104	8844
01105	4896
01106	5888
01107	4164
01108	10552
01109	9746
01118	5630
01119	5221
01128	1117
01129	2582
01144	0
01151	3606
01201	20199
01220	4081
01222	232
01223	1201
01224	88
01225	1513
01226	2831
01229	87
01230	3652
01235	1069
01236	650
01237	992
01238	2711
01240	2289
01242	41
01243	86
01244	112
01245	322
01247	6723
01253	403
01254	431
